date,CONSUMERCONFIDENCEINDEX,2YEARYIELD,10YEARYIELD,CONSUMERSENTIMENT,CORECPI,COREPCE,CPI,GDP,INTERESTRATE_MM,LABORFORCE_FORECAST,MEDIANHOUSESALES,MONTHLYHOUSESUPPLY,UNEMPLOYMENTFORECAST,NON_FARM,REAL_GDP_FORECAST,SHORTINTERESTRATE_FORECAST,UNEMPLOYMENTRATE,CPI_FORECAST,S&P500
2000-01-31,2.046928646411098,2.505169186581228,2.4318518390808475,2.180240828183725,-1.6574930711142233,-1.5855094161826124,0.2200908019964496,0.9430471145832848,2.1916335959009436,-1.9108447671260291,-1.488110907289832,-0.7918079809187758,1.826425088041216,-1.0034280449838775,-0.11597980974170242,2.245812906030464,1.8853262708675094,0.553686839497782,-0.5052043962610698
2000-02-29,2.0835387918054145,2.6375396261284756,2.4099037177895037,2.124400852504574,-1.6332703530945252,-1.557825623241352,0.5156866146505773,0.9430471145832848,2.2234265506205695,-1.9108447671260291,-1.488110907289832,-0.7918079809187758,1.826425088041216,-0.9872006323227017,-0.11597980974170242,2.245812906030464,1.8937687921180073,0.553686839497782,-0.36427494301400226
2000-03-31,2.0274710320996743,2.493658713577119,2.3952716369286087,1.78936099842967,-1.59866646913147,-1.5389125214571575,0.8435353410731988,0.9430471145832848,2.292311285846426,-1.9108447671260291,-1.488110907289832,-0.7918079809187758,1.826425088041216,-0.9162970724968437,-0.11597980974170242,2.245812906030464,1.8761751342906283,0.553686839497782,-0.41348721803936667
2000-04-30,2.014657481211662,2.447616821560685,2.3294272730545784,1.9568809254671227,-1.5848249162168613,-1.5430692471240135,0.4218704162179397,1.3874313586898255,2.3664948468588873,-1.8797151897074116,-1.5207581767274085,-0.7389032160466971,1.7802185973658007,-0.8755092514836181,0.9862689452553507,2.533204564323887,1.991383813826924,0.5763739552360498,-0.4474292920167743
2000-05-31,1.9970981707355044,2.493658713577119,2.4245357986503997,2.07653801620816,-1.5848249162168613,-1.5325111639301991,0.4955178333746621,1.3874313586898255,2.5943443556828742,-1.8797151897074116,-1.5207581767274085,-0.7389032160466971,1.7802185973658007,-0.8430544261612667,0.9862689452553507,2.533204564323887,1.8043615356618976,0.5763739552360498,-0.41117322807609397
2000-06-30,1.9286914361005734,2.476393004070956,2.387955596498161,1.7335210227505202,-1.5813645275690769,-1.5273152568466293,0.8269309045750393,1.3874313586898255,2.604942007256083,-1.8797151897074116,-1.5207581767274085,-0.5272841565583833,1.7802185973658007,-0.8497792998767089,0.9862689452553507,2.533204564323887,1.8622332364274237,0.5763739552360498,-0.4365204821899166
2000-07-31,1.905505010684165,2.453372058062739,2.3513753943459212,1.8850866710225,-1.5709833624639862,-1.5164662028561355,0.7833698866756065,0.8331769774934155,2.573149052536457,-1.9025326810090162,-1.4336987915605377,-0.8976175106629328,1.733631751111514,-0.825511277338374,-0.31124717179999994,2.5615889259916225,1.6940349114110338,0.6865659046170277,-0.34390756591791405
2000-08-31,1.8813694333501427,2.6720710451408016,2.402587677359056,1.805315277195142,-1.5571418095493788,-1.5015435577121223,0.6315076236059134,0.8331769774934155,2.541356097816831,-1.9025326810090162,-1.4336987915605377,-0.7389032160466971,1.733631751111514,-0.8247803128040868,-0.31124717179999994,2.5615889259916225,1.715597684532809,0.6865659046170277,-0.4304635868021794
2000-09-30,1.8468609814877242,2.6720710451408016,2.3806395560677127,1.7654295802814628,-1.5363794793391987,-1.4727790160974794,0.6580113177929798,0.8331769774934155,2.5360572720302264,-1.9025326810090162,-1.4336987915605377,-0.9505222755350111,1.733631751111514,-0.8065061994469069,-0.31124717179999994,2.5615889259916225,1.7096853112574801,0.6865659046170277,-0.43804536958506857
2000-10-31,1.771403404036107,2.493658713577119,2.387955596498161,1.6856581864541047,-1.5190775377768042,-1.4704512497240398,0.6542407257298357,0.36535178316660716,2.573149052536457,-1.819846444153555,-1.3699588845633646,-0.9505222755350111,1.6867361456226158,-0.8070909710743367,0.05490211993583637,2.54207467741158,1.7189755624996639,0.6705779228251127,-0.5600896789383292
2000-11-30,1.5966238580610208,2.533945369091499,2.4611160008026385,1.829246695343349,-1.5121567613195004,-1.4653384771538074,0.6529867177542827,0.36535178316660716,2.5625514009632484,-1.819846444153555,-1.3699588845633646,-0.8447127457908541,1.6867361456226158,-0.7777061967959914,0.05490211993583637,2.54207467741158,1.7383342376430568,0.6705779228251127,-0.5544060077382167
2000-12-31,1.2297088453313227,2.556966315099716,2.4976962029548773,1.0953498721316555,-1.5190775377768042,-1.460558242636923,0.6166223224924917,0.36535178316660716,2.456574885231161,-1.819846444153555,-1.3699588845633646,-1.162141335023325,1.6867361456226158,-0.7535843671645139,0.05490211993583637,2.54207467741158,1.82185520482359,0.6705779228251127,-0.5056416017380017
2001-01-31,0.8661158643133353,2.556966315099716,2.4976962029548773,0.8001957149704303,-1.4948548197571072,-1.441395737312717,0.8280221179573776,0.05734993440208756,2.0167723449429995,-1.6789756044790023,-1.4181524727807395,-1.0563318052791681,1.6395968664508118,-0.7565082253016627,-0.6208451501071098,1.832465644765715,1.7596144341009345,0.6493408872461965,-0.6400769541204006
2001-02-28,0.6003533273768253,1.6246180017669256,1.1808089254742742,0.4731330002782614,-1.4637113244418378,-1.4334148240323537,0.706440873245133,0.05734993440208756,1.8260146166252427,-1.6789756044790023,-1.4181524727807395,-1.1092365701512465,1.6395968664508118,-0.7437894424050655,-0.6208451501071098,1.832465644765715,1.7195841891603607,0.6493408872461965,-0.7249694614826817
